Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
coffeecatgames.com/,Russia,Coffee Cat Games,Black Tower Entertainment,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
coffeestainstudios.com/,Sweden,Coffee Stain Studios,Coffee Stain Publishing,X,?,?,?,?,?,5,?,?,X,?,9,A,X,?,?,?
coilworks.se/,Sweden,Coilworks,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
coldcomfortgame.com/,Germany,Cold Comfort,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,X,?
coldwild.com/,Latvia,Coldwild Games,?,X,X,?,?,?,?,8,?,?,X,?,5,B,?,?,?,?
colepowered.com/,UK,ColePowered Games Ltd,?,X,X,?,?,?,?,6,?,?,X,?,5,B,?,?,?,?
colossalorder.fi/,Finland,Colossal Order,Paradox Interactive,X,?,?,?,?,?,3,?,?,X,?,8,A,?,?,?,?
com8com1.com/,Germany,Com8com1,?,X,?,?,?,X,?,2,?,?,X,?,2,C,?,?,?,?
comongames.ru/,Russia,ComonGames,META Publishing,X,?,X,?,?,?,3,?,?,X,?,4,B,?,?,?,?
company.alawar.com/,Russia,Alawar     ,Alawar,X,X,?,?,X,?,408,?,X,X,xsolla.com/,9,A,X,?,?,?
company.gamedesire.com/,Bulgaria,Ganymede Technologies,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
company.nevosoft.ru/,Russia,Nevosoft,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
concretegames.xyz/,France,Concrete Games,?,X,?,?,?,?,?,6,?,X,X,itch.io/,5,B,?,?,?,?
contecgames.com/,Denmark,Contec Games ,?,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,?,?
